scenario_name	beta	gamma	sim_id	p_beta_true	p_beta_hard	p_beta_soft	p_gamma_true	p_gamma_hard	p_gamma_soft	est_beta_true	est_beta_hard	est_beta_soft	est_gamma_true	est_gamma_hard	est_gamma_soft	se_beta_true	se_beta_hard	se_beta_soft	se_gamma_true	se_gamma_hard	se_gamma_soft
high_separation	-0.25	-0.1	28	0.0012210983870452235	9.44426795098314e-6	1.3653275692561148e-5	0.0013400746431731568	0.05402383892095678	8.828282568950481e-4	-0.2613918921628054	-0.35836736649871326	-0.31924744022586304	-0.12119814343257462	-0.06344889132228	-0.09177951043553695	0.08082854911836876	0.08090431856136712	0.07321807466370009	0.03769966960902776	0.032899687430687954	0.027557669266109575
high_separation	-0.25	-0.1	29	0.0011693687311954614	0.00914473700069136	0.0035244290402322285	0.20953449884362066	0.03973635920803944	0.008788161460536946	-0.2565657858460131	-0.20597040727836202	-0.2052429771683376	-0.04995247688272337	-0.06986083347198048	-0.07443014153738231	0.07903455808728939	0.07901894344100403	0.07025652166243067	0.03978516401883915	0.03393237158004624	0.02837847100795122
high_separation	-0.25	-0.1	30	0.0012907766658433917	4.7810081372053347e-4	4.484435245599058e-4	1.792437693798116e-4	5.5247494729871526e-5	1.0591261279306354e-7	-0.2557090342227647	-0.27856034997107815	-0.25484391666289946	-0.13828167338387015	-0.1265536967030391	-0.150249152216194	0.07946154190681179	0.07975421970818655	0.0724882540833685	0.03678791520700304	0.03127131491840868	0.028158675748948175
high_separation	-0.25	-0.05	1	0.018531043480278845	0.014520343694539722	0.020008128680562984	0.7355336112283453	0.6342005910219244	0.15725184441995566	-0.1840777776593025	-0.19126738326322754	-0.1641234860743475	-0.012994561569356898	-0.015688016367917237	-0.04209114659203106	0.07817021253148196	0.0782559338217846	0.07049787406558454	0.03846192754378395	0.032961626452960274	0.02974836653844625
high_separation	-0.25	-0.05	2	0.0018312710034018068	0.0012012547790298143	0.0011656388432432887	0.03513965051988505	0.05365143429976476	0.0031414151376684893	-0.25322384504899254	-0.26379001676099334	-0.23532480590759897	-0.08170487613925596	-0.06489006422235327	-0.08779318822576626	0.08125748454616391	0.08145231942238376	0.07236635090068945	0.03873728970582899	0.03359463809153696	0.029688469481028008
high_separation	-0.25	-0.05	3	1.0517742625874778e-6	4.3122492453222025e-5	1.5875075292333418e-6	0.0022631712880564	2.8808163940279583e-4	1.709517275617004e-5	-0.3959073076083601	-0.33104591274870865	-0.3476581522718338	-0.12355980958712273	-0.12450744400249285	-0.1194959381617374	0.08110036449159391	0.08093874313027545	0.072212624517246915	0.04037667542427605	0.03423529453565711	0.02772329271008403
high_separation	-0.25	-0.05	4	5.448800547852923e-7	8.48286780790705e-6	1.847412615833307e-5	0.9719205611458914	0.7698705660426743	0.14800444186666317	-0.4049264846232157	-0.3597059294421596	-0.3120475318909802	0.001389350377866847	-0.00975234060936853	-0.04091330450291816	0.08082695466346647	0.08078522393253385	0.07268815227355356	0.03946205585046667	0.03332861770702999	0.02827112785106386
high_separation	-0.25	-0.05	5	0.17539025478637268	0.5907762794703664	0.7052736471642214	0.7608086347772125	0.5345873236181917	0.25456558642789584	-0.1058209293359407	-0.042194384304308205	-0.027109807959525157	-0.01091648731117385	-0.019236897191320837	-0.02913775128069381	0.0780916878420444	0.07847031158114688	0.07166875312148233	0.0358516263008392	0.03096725654052946	0.02556711015861749
high_separation	-0.25	-0.05	6	0.014663384853600712	0.0013873659855114337	0.015740222298505423	0.8070177537938458	0.30665548204809046	0.8936215197725761	-0.19707437774522354	-0.2583953002240533	-0.17544693357439983	0.009696859036076824	0.0333367750393138	-0.0032923736689664616	0.08074873821672456	0.08081756270593562	0.0725902224105165	0.03968725891184919	0.032596110483351724	0.024617689835186047
high_separation	-0.25	-0.05	7	0.024565633511084085	0.11002428384211847	0.0296842947165388	0.03249163710251087	0.022427465862074794	0.025099903262759533	-0.1842262550991542	-0.13133153270194925	-0.15935140186574454	-0.0876725906748143	-0.0778276959768646	-0.06752596544745336	0.08194514524618927	0.08218061920351946	0.0732368332919753	0.04095056794530187	0.03404368537212287	0.030124685139651653
high_separation	-0.25	-0.05	8	0.005736968549131731	0.0011576053299318292	0.001663787471818837	0.5574105600358481	0.9605197265680108	0.3619897499072735	-0.22410056207661694	-0.2641016316737892	-0.23308386621418806	-0.022815119860286896	-0.0016703524201144182	-0.026447572003405393	0.0811239001180639	0.08128392070125096	0.0740236555796023	0.03887618360175129	0.033736190549600045	0.02900623871002352
high_separation	-0.25	-0.05	9	0.009456930942306695	0.17750947296932748	0.12514221638212863	0.24203618934022766	0.010054250866364725	0.0024134008948094718	-0.20961132341717334	-0.10906901008112214	-0.11336275487511582	-0.046841412891355606	-0.08415584769130455	-0.09038074783731595	0.08077263217434295	0.08088393974396821	0.07389113994016278	0.04001791562488414	0.032641481699475346	0.029751338739375233
high_separation	-0.25	-0.05	10	3.092237059315067e-6	2.9770125611389397e-4	3.939210066829075e-5	0.02376144535971335	7.607272145718275e-4	3.7197992303027e-5	-0.382063827847189	-0.2955422695888889	-0.3050927710708685	-0.09082559143195737	-0.11664666011144714	-0.11855673586685939	0.08190716080660561	0.08170262722770792	0.07404728249162182	0.04011465075751174	0.03455354103248946	0.028681644681666126
high_separation	-0.25	-0.05	11	0.015618963783101599	0.0012770124711778	0.0021321456821938533	0.008454157438489892	0.062465641631702415	0.001291882962407327	-0.19475960249188048	-0.2601133349978679	-0.2240289467069062	-0.10204830020486472	-0.06105575699982872	-0.091382613735455	0.08055574806495722	0.08075304607649192	0.07285035321561552	0.038683983232335774	0.032741414561513756	0.028358960119451503
high_separation	-0.25	-0.05	12	0.0902554541334804	0.06726740431907774	0.05782368138709492	0.5366955647956964	0.6481318655876089	0.4759956448836685	-0.13747144824890586	-0.14881730585271588	-0.13692002541827455	-0.02418542004224547	-0.015085734580295525	-0.018630608332079534	0.08114949859648493	0.0813261222802197	0.072134377077829	0.0391345490840895	0.03304804626214212	0.026133832600211657
high_separation	-0.25	-0.05	13	0.0026978331602462205	0.004884198188726393	0.0011475109061404737	0.612990604468235	0.2548513369627422	0.166394865426335	-0.23383378079122805	-0.21988417782290431	-0.22921340214855826	-0.018624808854576905	-0.03686661653145196	-0.038789294774335896	0.07793883839031102	0.07812344030042392	0.07039009345312515	0.03681155051220099	0.03236160203308378	0.028019131207600245
high_separation	-0.25	-0.05	14	8.054034997654087e-4	0.011796827356001825	0.0027511489933999384	0.3199735832122822	0.05155388083558584	0.02727072523394147	-0.27278239816659855	-0.2050367687896873	-0.2174191692185505	-0.038154152750368805	-0.06429017595400371	-0.06327628762302767	0.08140495676005748	0.0814231095844625	0.0725215473904346	0.03834864675965882	0.032989625612744496	0.028641598207445097
high_separation	-0.25	-0.05	15	0.07475357815801816	0.12853795371499524	0.06540576031589235	0.5033379383676919	0.24876533992144143	0.25995784243427217	-0.141148607844035	-0.12099756367470471	-0.131823635748135	-0.024358549353169327	-0.036256978726628294	-0.028970199840138648	0.07920915766916392	0.07960928181738798	0.07150771499400542	0.036385524344657916	0.03142071009438111	0.02570990866037275
high_separation	-0.25	-0.05	16	0.016626614950180713	0.015131450996159613	0.004311409139370233	0.012412092500361507	0.005060146221851292	6.796169791586928e-4	-0.18742733683122365	-0.19068546787329024	-0.19610573870379125	-0.0910922711864253	-0.08903560790097803	-0.09255942885551503	0.07826226526532455	0.07849666247836751	0.0686236030851662	0.03637750220555438	0.03170346117976255	0.027199256857556864
